#format table ## [Custom WaveView] saved 21:28:58 Mon Apr 29 2024
TIME ,v(a) ,v(b) ,v(c) ,v(d) ,v(e) ,v(f) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 1.000E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 2.000E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 5.200E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 1.544E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 4.821E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 1.531E-10 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 4.886E-10 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 9.490E-10 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 3.541E-09 
 9.512E-10 , 6.750E-02 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.801E+00 , 6.381E-06 
 9.542E-10 , 1.569E-01 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.803E+00 , 1.565E-05 
 9.638E-10 , 4.430E-01 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.809E+00 , 5.167E-05 
 9.676E-10 , 5.570E-01 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.812E+00 , 6.765E-05 
 9.797E-10 , 9.219E-01 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.822E+00 , 1.199E-04 
 9.907E-10 , 1.252E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.831E+00 , 1.696E-04 
 9.953E-10 , 1.389E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.835E+00 , 1.879E-04 
 1.009E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.844E+00 , 2.216E-04 
 1.009E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.844E+00 , 2.216E-04 
 1.010E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.844E+00 , 2.217E-04 
 1.012E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.845E+00 , 2.212E-04 
 1.017E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.845E+00 , 2.164E-04 
 1.033E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.843E+00 , 1.827E-04 
 1.046E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.839E+00 , 1.470E-04 
 1.065E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.834E+00 , 1.017E-04 
 1.084E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.830E+00 , 6.281E-05 
 1.113E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.823E+00 , 1.796E-05 
 1.150E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.817E+00 ,-1.838E-05 
 1.204E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.811E+00 ,-4.464E-05 
 1.266E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.807E+00 ,-5.228E-05 
 1.333E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.804E+00 ,-4.810E-05 
 1.407E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.802E+00 ,-3.853E-05 
 1.491E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.801E+00 ,-2.737E-05 
 1.593E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 ,-1.676E-05 
 1.720E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 ,-8.500E-06 
 1.880E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 ,-3.166E-06 
 1.898E-09 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 ,-2.845E-06 
 1.898E-09 , 1.800E+00 , 8.308E-03 , 0.000E+00 , 0.000E+00 , 1.801E+00 , 1.990E-06 
 1.899E-09 , 1.800E+00 , 2.594E-02 , 0.000E+00 , 0.000E+00 , 1.803E+00 , 1.239E-05 
 1.901E-09 , 1.800E+00 , 8.238E-02 , 0.000E+00 , 0.000E+00 , 1.808E+00 , 4.512E-05 
 1.905E-09 , 1.800E+00 , 2.068E-01 , 0.000E+00 , 0.000E+00 , 1.820E+00 , 1.143E-04 
 1.918E-09 , 1.800E+00 , 6.049E-01 , 0.000E+00 , 0.000E+00 , 1.854E+00 , 3.060E-04 
 1.932E-09 , 1.800E+00 , 1.007E+00 , 0.000E+00 , 0.000E+00 , 1.883E+00 , 4.455E-04 
 1.947E-09 , 1.800E+00 , 1.478E+00 , 0.000E+00 , 0.000E+00 , 1.895E+00 , 4.697E-04 
 1.958E-09 , 1.800E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.894E+00 , 4.316E-04 
 1.958E-09 , 1.788E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.893E+00 , 4.273E-04 
 1.959E-09 , 1.774E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.893E+00 , 4.221E-04 
 1.960E-09 , 1.730E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.891E+00 , 4.059E-04 
 1.965E-09 , 1.588E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.885E+00 , 3.579E-04 
 1.975E-09 , 1.278E+00 , 1.800E+00 , 0.000E+00 , 0.000E+00 , 1.873E+00 , 2.686E-04 
