#format table ## [Custom WaveView] saved 22:50:32 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 3.155E-09 , 1.800E+00 
 5.100E-09 ,-1.786E-17 ,-6.295E-17 ,-6.562E-17 ,-2.051E-17 , 3.440E-09 , 1.800E+00 
 5.105E-09 , 3.579E-02 , 6.186E-04 , 1.303E-04 , 3.940E-05 , 3.178E-06 , 1.800E+00 
 5.109E-09 , 8.060E-02 , 1.066E-03 , 2.564E-04 , 7.895E-05 , 7.361E-06 , 1.800E+00 
 5.115E-09 , 1.476E-01 , 1.237E-03 , 3.783E-04 , 1.213E-04 , 1.434E-05 , 1.800E+00 
 5.125E-09 , 2.653E-01 , 9.739E-04 , 4.684E-04 , 1.638E-04 , 2.596E-05 , 1.800E+00 
 5.135E-09 , 3.799E-01 , 7.058E-04 , 4.791E-04 , 1.815E-04 , 3.706E-05 , 1.800E+00 
 5.147E-09 , 5.237E-01 , 5.877E-04 , 4.556E-04 , 1.840E-04 , 4.921E-05 , 1.800E+00 
 5.171E-09 , 8.112E-01 , 5.811E-04 , 3.610E-04 , 1.177E-04 , 6.865E-05 , 1.800E+00 
 5.189E-09 , 1.038E+00 , 6.786E-04 , 3.498E-04 , 8.289E-05 , 8.206E-05 , 1.800E+00 
 5.204E-09 , 1.218E+00 , 6.463E-04 , 3.690E-04 , 9.594E-05 , 9.258E-05 , 1.800E+00 
 5.224E-09 , 1.454E+00 , 1.571E-04 , 2.658E-04 , 9.316E-05 , 9.850E-05 , 1.800E+00 
 5.250E-09 , 1.772E+00 ,-8.240E-05 , 9.733E-05 , 5.121E-05 , 9.412E-05 , 1.800E+00 
 5.265E-09 , 1.796E+00 ,-6.159E-04 ,-1.444E-04 ,-3.966E-05 , 7.749E-05 , 1.800E+00 
 5.280E-09 , 1.801E+00 ,-6.916E-04 ,-2.735E-04 ,-8.753E-05 , 5.932E-05 , 1.800E+00 
 5.296E-09 , 1.800E+00 ,-5.369E-04 ,-3.112E-04 ,-1.055E-04 , 3.987E-05 , 1.800E+00 
 5.316E-09 , 1.800E+00 ,-3.948E-04 ,-2.940E-04 ,-1.070E-04 , 1.838E-05 , 1.800E+00 
 5.346E-09 , 1.800E+00 ,-3.082E-04 ,-2.344E-04 ,-8.998E-05 ,-5.554E-06 , 1.800E+00 
 5.406E-09 , 1.800E+00 ,-1.998E-04 ,-1.339E-04 ,-5.052E-05 ,-3.033E-05 , 1.800E+00 
 5.503E-09 , 1.800E+00 ,-8.627E-05 ,-5.630E-05 ,-1.968E-05 ,-3.657E-05 , 1.800E+00 
 5.657E-09 , 1.800E+00 ,-2.031E-05 ,-1.606E-05 ,-5.866E-06 ,-2.193E-05 , 1.800E+00 
 5.865E-09 , 1.800E+00 ,-5.187E-06 ,-4.520E-06 ,-1.875E-06 ,-4.891E-06 , 1.800E+00 
 6.135E-09 , 1.800E+00 ,-4.572E-06 ,-3.354E-06 ,-1.527E-06 , 1.415E-06 , 1.800E+00 
 6.585E-09 , 1.800E+00 ,-3.547E-06 ,-2.321E-06 ,-9.478E-07 ,-2.421E-07 , 1.800E+00 
 7.396E-09 , 1.800E+00 ,-5.858E-07 ,-4.579E-07 ,-1.756E-07 ,-2.030E-06 , 1.800E+00 
 9.019E-09 , 1.800E+00 , 3.551E-07 , 2.619E-07 ,-4.562E-08 ,-3.899E-07 , 1.800E+00 
 1.010E-08 , 1.800E+00 , 1.488E-07 , 1.100E-07 , 4.095E-08 ,-6.894E-08 , 1.800E+00 
 1.011E-08 , 1.657E+00 , 1.385E-01 , 9.827E-04 , 2.693E-04 , 5.075E-05 , 1.800E+00 
 1.013E-08 , 1.495E+00 , 2.991E-01 , 1.377E-03 , 4.322E-04 , 1.016E-04 , 1.800E+00 
 1.014E-08 , 1.319E+00 , 4.753E-01 , 1.247E-03 , 4.538E-04 , 1.445E-04 , 1.800E+00 
 1.016E-08 , 1.122E+00 , 6.746E-01 , 8.564E-04 , 3.607E-04 , 1.724E-04 , 1.800E+00 
 1.018E-08 , 8.576E-01 , 9.415E-01 , 4.198E-04 , 2.011E-04 , 1.816E-04 , 1.800E+00 
 1.021E-08 , 5.716E-01 , 1.231E+00 , 1.366E-04 , 7.791E-05 , 1.694E-04 , 1.800E+00 
 1.023E-08 , 3.350E-01 , 1.471E+00 ,-1.998E-04 ,-4.251E-05 , 1.414E-04 , 1.800E+00 
 1.024E-08 , 1.700E-01 , 1.638E+00 ,-3.139E-04 ,-9.589E-05 , 1.182E-04 , 1.800E+00 
 1.025E-08 , 3.602E-02 , 1.772E+00 ,-3.243E-04 ,-1.122E-04 , 9.936E-05 , 1.800E+00 
 1.026E-08 , 1.057E-02 , 1.793E+00 ,-6.499E-04 ,-2.095E-04 , 7.685E-05 , 1.800E+00 
 1.027E-08 , 1.147E-03 , 1.800E+00 ,-8.216E-04 ,-2.690E-04 , 5.434E-05 , 1.800E+00 
 1.027E-08 ,-1.879E-04 , 1.800E+00 ,-8.179E-04 ,-2.837E-04 , 3.102E-05 , 1.800E+00 
 1.029E-08 , 4.302E-04 , 1.800E+00 ,-6.984E-04 ,-2.630E-04 , 5.014E-06 , 1.800E+00 
 1.030E-08 , 3.922E-04 , 1.800E+00 ,-5.733E-04 ,-2.253E-04 ,-1.865E-05 , 1.800E+00 
 1.033E-08 , 2.127E-05 , 1.800E+00 ,-4.020E-04 ,-1.563E-04 ,-4.958E-05 , 1.800E+00 
 1.037E-08 ,-3.246E-05 , 1.800E+00 ,-2.262E-04 ,-8.501E-05 ,-7.047E-05 , 1.800E+00 
 1.043E-08 , 1.686E-05 , 1.800E+00 ,-9.932E-05 ,-3.766E-05 ,-7.012E-05 , 1.800E+00 
 1.053E-08 , 1.047E-05 , 1.800E+00 ,-2.580E-05 ,-1.029E-05 ,-4.770E-05 , 1.800E+00 
 1.067E-08 ,-6.465E-07 , 1.800E+00 ,-7.223E-06 ,-2.846E-06 ,-2.043E-05 , 1.800E+00 
 1.085E-08 ,-7.295E-07 , 1.800E+00 ,-6.070E-06 ,-2.392E-06 ,-4.052E-06 , 1.800E+00 
 1.115E-08 , 2.464E-07 , 1.800E+00 ,-4.172E-06 ,-1.644E-06 , 1.055E-08 , 1.800E+00 
 1.171E-08 , 2.084E-07 , 1.800E+00 ,-6.087E-07 ,-2.392E-07 ,-2.829E-06 , 1.800E+00 
 1.283E-08 , 1.324E-07 , 1.800E+00 , 4.092E-07 ,-1.711E-07 ,-2.335E-06 , 1.800E+00 
 1.483E-08 ,-3.146E-09 , 1.800E+00 ,-5.361E-08 ,-4.931E-08 , 8.458E-08 , 1.800E+00 
 1.510E-08 ,-2.568E-09 , 1.800E+00 ,-1.166E-07 ,-4.487E-08 , 8.041E-08 , 1.800E+00 
 1.511E-08 , 1.337E-01 , 1.800E+00 , 8.839E-06 , 7.841E-06 , 8.020E-08 , 1.800E+00 
 1.513E-08 , 2.909E-01 , 1.800E+00 , 5.536E-06 , 5.973E-06 , 7.999E-08 , 1.800E+00 
 1.514E-08 , 4.988E-01 , 1.800E+00 , 1.352E-06 , 2.094E-06 , 7.973E-08 , 1.800E+00 
 1.516E-08 , 7.194E-01 , 1.800E+00 , 2.997E-06 , 2.981E-06 , 7.945E-08 , 1.800E+00 
 1.518E-08 , 9.669E-01 , 1.800E+00 , 7.675E-07 , 5.203E-07 , 7.913E-08 , 1.800E+00 
 1.520E-08 , 1.201E+00 , 1.801E+00 ,-1.320E-06 ,-1.784E-06 , 7.884E-08 , 1.800E+00 
 1.522E-08 , 1.436E+00 , 1.801E+00 ,-2.449E-06 ,-1.537E-06 , 7.854E-08 , 1.800E+00 
 1.524E-08 , 1.677E+00 , 1.801E+00 ,-1.579E-06 ,-1.281E-06 , 7.824E-08 , 1.800E+00 
 1.525E-08 , 1.773E+00 , 1.801E+00 ,-1.232E-06 ,-9.501E-07 , 7.811E-08 , 1.800E+00 
 1.525E-08 , 1.790E+00 , 1.800E+00 ,-1.389E-05 ,-1.217E-05 , 7.805E-08 , 1.800E+00 
 1.526E-08 , 1.798E+00 , 1.800E+00 ,-1.926E-05 ,-1.738E-05 , 7.799E-08 , 1.800E+00 
 1.526E-08 , 1.800E+00 , 1.800E+00 ,-1.389E-05 ,-1.331E-05 , 7.791E-08 , 1.800E+00 
 1.527E-08 , 1.800E+00 , 1.800E+00 ,-1.276E-06 ,-2.063E-06 , 7.778E-08 , 1.800E+00 
 1.528E-08 , 1.800E+00 , 1.800E+00 , 2.308E-06 , 1.784E-06 , 7.764E-08 , 1.800E+00 
 1.529E-08 , 1.800E+00 , 1.800E+00 , 2.725E-07 , 3.294E-07 , 7.744E-08 , 1.800E+00 
 1.532E-08 , 1.800E+00 , 1.800E+00 ,-1.202E-06 ,-1.199E-06 , 7.704E-08 , 1.800E+00 
 1.537E-08 , 1.800E+00 , 1.800E+00 , 1.206E-07 ,-2.924E-08 , 7.628E-08 , 1.800E+00 
