#format table ## [Custom WaveView] saved 23:10:13 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 3.366E-09 , 1.800E+00 
 5.100E-09 ,-3.785E-17 ,-1.072E-16 ,-1.146E-16 ,-4.661E-17 , 3.526E-09 , 1.800E+00 
 5.105E-09 , 3.309E-02 , 6.363E-04 , 1.170E-04 , 3.376E-05 , 3.430E-06 , 1.800E+00 
 5.110E-09 , 7.682E-02 , 1.180E-03 , 2.427E-04 , 7.165E-05 , 8.194E-06 , 1.800E+00 
 5.116E-09 , 1.427E-01 , 1.509E-03 , 3.752E-04 , 1.158E-04 , 1.579E-05 , 1.800E+00 
 5.125E-09 , 2.586E-01 , 1.406E-03 , 4.888E-04 , 1.647E-04 , 2.940E-05 , 1.800E+00 
 5.135E-09 , 3.719E-01 , 1.138E-03 , 5.134E-04 , 1.875E-04 , 4.259E-05 , 1.800E+00 
 5.146E-09 , 5.049E-01 , 9.752E-04 , 4.983E-04 , 1.948E-04 , 5.620E-05 , 1.800E+00 
 5.168E-09 , 7.706E-01 , 9.421E-04 , 4.386E-04 , 1.688E-04 , 7.837E-05 , 1.800E+00 
 5.193E-09 , 1.069E+00 , 1.076E-03 , 4.332E-04 , 1.384E-04 , 1.005E-04 , 1.800E+00 
 5.213E-09 , 1.321E+00 , 8.346E-04 , 3.785E-04 , 1.193E-04 , 1.136E-04 , 1.800E+00 
 5.240E-09 , 1.643E+00 , 3.817E-04 , 2.099E-04 , 7.810E-05 , 1.170E-04 , 1.800E+00 
 5.250E-09 , 1.764E+00 , 3.236E-04 , 1.479E-04 , 6.006E-05 , 1.144E-04 , 1.800E+00 
 5.257E-09 , 1.789E+00 ,-2.877E-04 ,-1.203E-05 , 5.827E-06 , 1.072E-04 , 1.800E+00 
 5.264E-09 , 1.799E+00 ,-6.971E-04 ,-1.502E-04 ,-4.164E-05 , 9.840E-05 , 1.800E+00 
 5.272E-09 , 1.800E+00 ,-8.168E-04 ,-2.560E-04 ,-7.965E-05 , 8.645E-05 , 1.800E+00 
 5.283E-09 , 1.800E+00 ,-6.762E-04 ,-3.280E-04 ,-1.103E-04 , 6.869E-05 , 1.800E+00 
 5.297E-09 , 1.800E+00 ,-5.198E-04 ,-3.452E-04 ,-1.240E-04 , 4.899E-05 , 1.800E+00 
 5.319E-09 , 1.800E+00 ,-4.125E-04 ,-3.162E-04 ,-1.214E-04 , 2.118E-05 , 1.800E+00 
 5.363E-09 , 1.800E+00 ,-3.082E-04 ,-2.224E-04 ,-8.787E-05 ,-1.607E-05 , 1.800E+00 
 5.435E-09 , 1.800E+00 ,-1.763E-04 ,-1.191E-04 ,-4.500E-05 ,-4.119E-05 , 1.800E+00 
 5.551E-09 , 1.800E+00 ,-6.539E-05 ,-4.650E-05 ,-1.692E-05 ,-4.046E-05 , 1.800E+00 
 5.724E-09 , 1.800E+00 ,-1.451E-05 ,-1.229E-05 ,-4.866E-06 ,-1.931E-05 , 1.800E+00 
 5.949E-09 , 1.800E+00 ,-4.895E-06 ,-3.967E-06 ,-1.634E-06 ,-2.395E-06 , 1.800E+00 
 6.277E-09 , 1.800E+00 ,-5.005E-06 ,-3.339E-06 ,-1.358E-06 , 1.889E-06 , 1.800E+00 
 6.805E-09 , 1.800E+00 ,-3.353E-06 ,-2.328E-06 ,-9.146E-07 ,-1.269E-06 , 1.800E+00 
 7.860E-09 , 1.800E+00 ,-4.989E-08 ,-5.794E-08 ,-2.685E-08 ,-2.164E-06 , 1.800E+00 
 9.860E-09 , 1.800E+00 , 1.888E-07 , 1.450E-07 , 5.641E-08 , 6.688E-08 , 1.800E+00 
 1.010E-08 , 1.800E+00 , 2.174E-07 , 1.694E-07 , 6.641E-08 , 7.990E-08 , 1.800E+00 
 1.011E-08 , 1.662E+00 , 1.341E-01 , 1.016E-03 , 2.901E-04 , 5.710E-05 , 1.800E+00 
 1.013E-08 , 1.498E+00 , 2.955E-01 , 1.462E-03 , 4.706E-04 , 1.162E-04 , 1.800E+00 
 1.015E-08 , 1.293E+00 , 5.011E-01 , 1.313E-03 , 4.928E-04 , 1.720E-04 , 1.800E+00 
 1.016E-08 , 1.099E+00 , 6.972E-01 , 9.141E-04 , 3.917E-04 , 2.015E-04 , 1.800E+00 
 1.018E-08 , 8.527E-01 , 9.461E-01 , 5.121E-04 , 2.416E-04 , 2.126E-04 , 1.800E+00 
 1.021E-08 , 5.596E-01 , 1.243E+00 , 2.325E-04 , 1.157E-04 , 2.027E-04 , 1.800E+00 
 1.023E-08 , 2.667E-01 , 1.539E+00 ,-1.614E-04 ,-2.997E-05 , 1.671E-04 , 1.800E+00 
 1.025E-08 , 4.440E-02 , 1.763E+00 ,-2.766E-04 ,-8.830E-05 , 1.346E-04 , 1.800E+00 
 1.026E-08 , 1.212E-02 , 1.792E+00 ,-6.900E-04 ,-2.201E-04 , 9.869E-05 , 1.800E+00 
 1.027E-08 , 8.371E-04 , 1.800E+00 ,-8.931E-04 ,-3.000E-04 , 6.282E-05 , 1.800E+00 
 1.028E-08 ,-3.639E-04 , 1.801E+00 ,-8.746E-04 ,-3.170E-04 , 3.011E-05 , 1.800E+00 
 1.030E-08 , 3.808E-04 , 1.800E+00 ,-7.267E-04 ,-2.868E-04 ,-4.454E-06 , 1.800E+00 
 1.031E-08 , 3.703E-04 , 1.800E+00 ,-5.741E-04 ,-2.345E-04 ,-3.435E-05 , 1.800E+00 
 1.035E-08 , 5.387E-06 , 1.800E+00 ,-3.758E-04 ,-1.494E-04 ,-6.978E-05 , 1.800E+00 
 1.040E-08 ,-3.433E-05 , 1.800E+00 ,-1.977E-04 ,-7.585E-05 ,-8.688E-05 , 1.800E+00 
 1.047E-08 , 1.633E-05 , 1.800E+00 ,-7.625E-05 ,-3.005E-05 ,-7.702E-05 , 1.800E+00 
 1.059E-08 , 8.139E-06 , 1.800E+00 ,-1.769E-05 ,-7.457E-06 ,-4.475E-05 , 1.800E+00 
 1.074E-08 ,-1.166E-06 , 1.800E+00 ,-6.815E-06 ,-2.712E-06 ,-1.561E-05 , 1.800E+00 
 1.094E-08 ,-6.312E-07 , 1.800E+00 ,-6.218E-06 ,-2.213E-06 ,-1.631E-06 , 1.800E+00 
 1.130E-08 , 2.993E-07 , 1.800E+00 ,-3.359E-06 ,-1.344E-06 ,-7.486E-07 , 1.800E+00 
 1.202E-08 , 1.898E-07 , 1.800E+00 , 7.611E-08 , 2.732E-08 ,-3.882E-06 , 1.800E+00 
 1.346E-08 ,-2.914E-08 , 1.800E+00 , 1.338E-08 , 3.785E-09 ,-1.630E-06 , 1.800E+00 
 1.510E-08 ,-5.257E-09 , 1.800E+00 ,-5.788E-08 ,-2.294E-08 ,-5.186E-07 , 1.800E+00 
