#format table ## [Custom WaveView] saved 15:29:31 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 3.297E-09 
 5.200E-09 , 8.722E-19 , 6.898E-19 , 5.365E-07 ,-2.933E-19 , 3.297E-09 
 5.203E-09 , 3.090E-02 , 7.712E-04 , 5.368E-07 , 2.409E-06 , 2.510E-06 
 5.207E-09 , 7.363E-02 , 1.516E-03 , 1.072E-06 , 4.819E-06 , 5.016E-06 
 5.211E-09 , 1.382E-01 , 2.083E-03 , 1.733E-06 , 7.791E-06 , 9.714E-06 
 5.217E-09 , 2.476E-01 , 2.179E-03 , 2.753E-06 , 1.003E-05 , 1.836E-05 
 5.223E-09 , 3.596E-01 , 1.905E-03 , 3.073E-06 , 1.059E-05 , 2.704E-05 
 5.230E-09 , 4.882E-01 , 1.659E-03 , 3.440E-06 , 1.022E-05 , 3.704E-05 
 5.244E-09 , 7.447E-01 , 9.522E-04 , 1.358E-06 , 1.069E-06 , 4.420E-05 
 5.262E-09 , 1.063E+00 ,-2.327E-03 ,-9.480E-06 ,-3.750E-05 ,-1.847E-05 
 5.272E-09 , 1.252E+00 ,-5.936E-03 ,-1.945E-05 ,-6.791E-05 ,-1.049E-04 
 5.282E-09 , 1.440E+00 ,-1.038E-02 ,-2.942E-05 ,-9.831E-05 ,-2.309E-04 
 5.294E-09 , 1.645E+00 ,-1.489E-02 ,-4.035E-05 ,-1.289E-04 ,-4.126E-04 
 5.300E-09 , 1.756E+00 ,-1.710E-02 ,-4.635E-05 ,-1.443E-04 ,-5.303E-04 
 5.304E-09 , 1.782E+00 ,-1.872E-02 ,-4.903E-05 ,-1.497E-04 ,-6.155E-04 
 5.308E-09 , 1.794E+00 ,-1.989E-02 ,-5.068E-05 ,-1.509E-04 ,-7.007E-04 
 5.313E-09 , 1.796E+00 ,-2.051E-02 ,-5.110E-05 ,-1.471E-04 ,-7.969E-04 
 5.321E-09 , 1.796E+00 ,-2.042E-02 ,-4.951E-05 ,-1.359E-04 ,-9.442E-04 
 5.329E-09 , 1.796E+00 ,-1.978E-02 ,-4.651E-05 ,-1.239E-04 ,-1.077E-03 
 5.340E-09 , 1.796E+00 ,-1.821E-02 ,-3.857E-05 ,-9.657E-05 ,-1.258E-03 
 5.363E-09 , 1.797E+00 ,-1.414E-02 , 8.125E-06 , 6.410E-05 ,-1.568E-03 
 5.387E-09 , 1.798E+00 ,-1.021E-02 , 6.009E-05 , 2.021E-04 ,-1.825E-03 
 5.417E-09 , 1.798E+00 ,-7.138E-03 , 7.665E-05 , 2.125E-04 ,-1.946E-03 
 5.436E-09 , 1.799E+00 ,-5.464E-03 , 6.295E-05 , 1.587E-04 ,-1.931E-03 
 5.455E-09 , 1.799E+00 ,-3.938E-03 , 4.030E-05 , 9.096E-05 ,-1.865E-03 
 5.481E-09 , 1.799E+00 ,-2.348E-03 , 1.083E-05 , 1.337E-05 ,-1.725E-03 
 5.510E-09 , 1.800E+00 ,-1.291E-03 ,-9.428E-06 ,-3.394E-05 ,-1.539E-03 
 5.538E-09 , 1.800E+00 ,-7.572E-04 ,-1.688E-05 ,-4.831E-05 ,-1.348E-03 
 5.572E-09 , 1.800E+00 ,-4.714E-04 ,-1.627E-05 ,-4.347E-05 ,-1.144E-03 
 5.610E-09 , 1.800E+00 ,-3.213E-04 ,-1.177E-05 ,-2.981E-05 ,-9.366E-04 
 5.660E-09 , 1.800E+00 ,-2.297E-04 ,-6.019E-06 ,-1.554E-05 ,-7.208E-04 
 5.732E-09 , 1.800E+00 ,-1.614E-04 ,-1.993E-06 ,-5.321E-06 ,-4.919E-04 
 5.843E-09 , 1.800E+00 ,-1.055E-04 ,-3.695E-07 ,-1.072E-06 ,-2.674E-04 
 6.021E-09 , 1.800E+00 ,-6.398E-05 ,-3.543E-07 ,-9.145E-07 ,-9.646E-05 
 6.258E-09 , 1.800E+00 ,-4.076E-05 ,-3.340E-07 ,-7.049E-07 ,-2.417E-05 
 6.574E-09 , 1.800E+00 ,-2.700E-05 ,-3.071E-07 ,-4.256E-07 ,-7.806E-06 
 7.121E-09 , 1.800E+00 ,-1.653E-05 ,-2.604E-07 , 5.830E-08 ,-9.029E-06 
 7.786E-09 , 1.800E+00 ,-1.092E-05 ,-2.036E-07 , 5.076E-08 ,-5.431E-06 
 8.698E-09 , 1.800E+00 ,-7.316E-06 ,-1.258E-07 , 4.043E-08 ,-5.041E-07 
 1.016E-08 , 1.800E+00 ,-4.684E-06 ,-8.148E-10 , 2.384E-08 , 5.524E-07 
 1.216E-08 , 1.800E+00 ,-3.086E-06 , 4.585E-10 , 1.174E-09 ,-6.193E-08 
 1.216E-08 , 1.714E+00 , 9.550E-02 , 5.582E-06 , 2.907E-05 , 2.990E-06 
