#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 3.403E-09 
 5.200E-09 ,-1.795E-15 ,-4.784E-15 , 7.791E-07 ,-4.685E-15 , 3.397E-09 
 5.203E-09 , 2.796E-02 , 7.286E-04 , 7.796E-07 , 3.259E-06 , 2.703E-06 
 5.207E-09 , 6.758E-02 , 1.490E-03 , 1.586E-06 , 6.517E-06 , 6.612E-06 
 5.211E-09 , 1.295E-01 , 2.165E-03 , 2.584E-06 , 1.055E-05 , 1.288E-05 
 5.216E-09 , 2.286E-01 , 2.424E-03 , 3.999E-06 , 1.393E-05 , 2.331E-05 
 5.223E-09 , 3.475E-01 , 2.183E-03 , 4.445E-06 , 1.517E-05 , 3.536E-05 
 5.231E-09 , 4.899E-01 , 1.852E-03 , 4.977E-06 , 1.482E-05 , 4.974E-05 
 5.245E-09 , 7.353E-01 , 1.184E-03 , 2.541E-06 , 4.972E-06 , 6.091E-05 
 5.263E-09 , 1.068E+00 ,-1.994E-03 ,-1.192E-05 ,-4.406E-05 ,-1.112E-05 
 5.274E-09 , 1.269E+00 ,-5.870E-03 ,-2.530E-05 ,-8.607E-05 ,-1.206E-04 
 5.285E-09 , 1.469E+00 ,-1.070E-02 ,-3.989E-05 ,-1.298E-04 ,-2.845E-04 
 5.293E-09 , 1.619E+00 ,-1.416E-02 ,-5.094E-05 ,-1.605E-04 ,-4.427E-04 
 5.300E-09 , 1.743E+00 ,-1.676E-02 ,-5.950E-05 ,-1.839E-04 ,-5.954E-04 
 5.305E-09 , 1.775E+00 ,-1.867E-02 ,-6.373E-05 ,-1.941E-04 ,-7.084E-04 
 5.309E-09 , 1.791E+00 ,-2.014E-02 ,-6.646E-05 ,-1.988E-04 ,-8.215E-04 
 5.315E-09 , 1.796E+00 ,-2.102E-02 ,-6.741E-05 ,-1.970E-04 ,-9.445E-04 
 5.323E-09 , 1.796E+00 ,-2.122E-02 ,-6.547E-05 ,-1.843E-04 ,-1.142E-03 
 5.331E-09 , 1.795E+00 ,-2.079E-02 ,-6.164E-05 ,-1.695E-04 ,-1.310E-03 
 5.342E-09 , 1.796E+00 ,-1.977E-02 ,-5.413E-05 ,-1.449E-04 ,-1.518E-03 
 5.364E-09 , 1.797E+00 ,-1.627E-02 ,-4.227E-06 , 2.063E-05 ,-1.843E-03 
